artist,album,streams,hours,tracks,years
Israel Kamakawiwo'ole,Facing Future,4833,402.1,13,12
Glenn Gould,The Glenn Gould Trilogy - A Life,1365,125.8,40,3
Yann Tiersen,Amélie,1365,54.1,30,6
Ludwig van Beethoven,The Most Relaxing Classical Music In The Universe,1215,56.4,1,8
Johann Sebastian Bach,"Bach: The Goldberg Variations, BWV 988",1211,30.9,32,9
The Notorious B.I.G.,Ready to Die,1143,71.1,48,12
Arcade Fire,Her (Original Score),942,45.7,13,5
T.I.,Paper Trail,902,65.4,21,12
Frédéric Chopin,Chopin: Nocturnes,836,66.1,42,9
Ludwig van Beethoven,Beethoven Greatest Hits,781,40.6,2,7
Yann Tiersen,Le Fabuleux destin d'Amélie Poulain (Bande originale du film),719,28.5,15,5
The Notorious B.I.G.,Life After Death,707,49.7,55,12
Elliott Smith,From A Basement On The Hill,656,41.3,18,8
Eminem,The Slim Shady LP,656,38.9,44,11
JAY-Z,The Blueprint,639,43.8,30,8
Перемотка,Начало прекрасной дружбы,611,27.4,8,4
Drake,Scorpion,595,32.3,48,9
Fur Elise,Für Elise,575,16.8,31,3
Israel Kamakawiwo'ole,Alone In Iz World,559,31.6,12,11
Ludwig van Beethoven,Sviatoslav Richter Plays Beethoven,559,43.6,158,5
Beck,Sea Change,541,33.9,12,11
Maxo Kream,Brandon Banks,521,40.7,23,7
Tee Grizzley,My Moment,505,29.1,13,9
Brain Power Amadeus,Mozart Effect,492,24.7,15,4
Kanye West,The Life Of Pablo,474,25.0,58,11
Eminem,Recovery,469,32.8,29,13
Singin' Strings,Dve Gitari,445,28.3,1,11
Ludwig van Beethoven,Classical Piano Chillout,430,22.6,1,2
Chris Cornell,Chris Cornell,385,30.2,6,9
Kasey Chambers,The Captain,384,26.9,11,11
