artist,plays,hours,first,last,span_days,peak_year,peak_plays,concentration,tracks,years_active
Frédéric Chopin,7300,557.1,2016-01-03,2026-02-20,3701,2022,2342,32.1,1987,11
Israel Kamakawiwo'ole,5832,456.2,2015-12-30,2026-08-13,3879,2023,2008,34.4,70,12
Ludwig van Beethoven,5787,392.8,2015-12-26,2026-03-10,3727,2021,1687,29.2,1146,12
Johann Sebastian Bach,3385,133.8,2012-04-27,2026-01-10,5006,2016,1281,37.8,859,13
Yann Tiersen,3351,139.5,2016-08-03,2026-02-20,3488,2017,851,25.4,185,10
Eminem,2845,186.7,2012-06-07,2026-08-07,5174,2026,528,18.6,322,13
Drake,2544,148.0,2012-04-27,2026-09-03,5242,2022,544,21.4,332,13
Erik Satie,2473,129.5,2016-05-13,2026-02-20,3570,2016,487,19.7,609,11
The Notorious B.I.G.,2346,149.5,2015-12-21,2026-09-03,3909,2016,372,15.9,188,12
Arcade Fire,2276,143.2,2016-07-29,2026-08-12,3666,2021,892,39.2,147,11
Kanye West,1712,105.5,2015-12-21,2026-09-03,3909,2016,607,35.5,251,12
The Game,1619,100.2,2015-12-22,2026-09-04,3909,2016,666,41.1,304,12
JAY-Z,1551,98.1,2016-01-08,2026-02-17,3693,2020,585,37.7,222,11
Glenn Gould,1545,134.6,2016-01-05,2026-01-10,3658,2016,1505,97.4,111,7
Elliott Smith,1375,76.6,2016-01-31,2026-02-02,3655,2023,535,38.9,118,11
T.I.,1196,85.2,2015-12-21,2026-08-19,3894,2016,268,22.4,117,12
Domenico Scarlatti,1138,66.4,2016-04-21,2026-02-12,3584,2019,790,69.4,503,11
Перемотка,1088,52.2,2022-03-29,2026-06-24,1548,2023,768,70.6,62,5
Nas,1041,60.6,2015-12-21,2026-08-16,3891,2017,230,22.1,180,12
Wolfgang Amadeus Mozart,997,92.0,2016-01-03,2026-02-12,3693,2021,285,28.6,438,11
2Pac,983,65.7,2015-12-22,2026-08-16,3890,2016,170,17.3,196,12
Philip Glass,897,84.3,2016-01-28,2026-02-20,3676,2022,214,23.9,252,11
The Beatles,873,41.5,2015-12-24,2026-05-22,3802,2020,226,25.9,204,11
Post Malone,865,46.0,2015-12-28,2026-08-06,3874,2019,344,39.8,106,11
Robert Schumann,796,53.5,2016-01-03,2026-01-10,3660,2022,252,31.7,296,11
Claude Debussy,716,52.9,2016-01-28,2025-07-29,3470,2021,189,26.4,212,10
Tee Grizzley,704,37.5,2017-06-16,2026-08-12,3344,2017,463,65.8,59,9
David Bowie,696,47.2,2012-06-07,2026-05-22,5097,2017,168,24.1,170,12
Nino Rota,666,32.3,2016-01-28,2026-06-24,3800,2021,249,37.4,164,10
Maxo Kream,661,48.6,2019-07-23,2026-08-13,2578,2020,234,35.4,73,7
Bob Dylan,660,49.2,2015-12-21,2026-08-14,3889,2020,137,20.8,160,12
Bruce Springsteen,632,39.7,2016-01-26,2026-06-24,3802,2016,124,19.6,76,11
Beck,614,38.6,2016-03-13,2026-02-02,3613,2021,325,52.9,30,11
Franz Liszt,611,53.7,2016-01-31,2026-01-10,3632,2022,117,19.1,149,11
Fur Elise,575,16.8,2016-11-14,2018-01-30,442,2017,551,95.8,31,3
Big L,572,26.3,2016-02-26,2026-09-03,3842,2025,121,21.2,84,10
50 Cent,562,32.8,2016-03-15,2026-09-03,3824,2016,186,33.1,100,11
Johannes Brahms,551,42.8,2015-12-26,2025-07-29,3503,2022,170,30.9,235,11
Nelly,548,35.1,2016-01-29,2026-05-25,3769,2019,167,30.5,110,11
Lyube,545,31.4,2016-04-29,2024-03-14,2876,2023,235,43.1,96,9
Dr. Dre,530,29.6,2015-12-30,2026-03-31,3744,2023,151,28.5,76,12
Kendrick Lamar,509,32.1,2016-01-05,2026-09-03,3894,2017,105,20.6,114,11
Sergei Rachmaninoff,503,37.7,2016-01-03,2025-08-03,3500,2016,141,28.0,182,10
Brain Power Amadeus,495,24.8,2021-07-04,2024-10-11,1195,2021,429,86.7,18,4
Chris Cornell,486,36.6,2017-05-18,2026-04-02,3241,2021,119,24.5,23,10
Radiohead,484,32.8,2011-10-17,2026-08-06,5407,2020,150,31.0,130,12
Singin' Strings,484,30.4,2016-01-26,2026-03-28,3714,2022,98,20.2,15,11
Noam Chomsky,477,24.6,2016-04-18,2026-04-12,3646,2017,132,27.7,212,7
Saigon,476,27.6,2016-02-02,2026-09-03,3866,2016,104,21.8,130,10
Ice Cube,458,27.5,2015-12-22,2026-08-19,3893,2016,83,18.1,105,12
blink-182,439,21.3,2016-03-27,2025-10-13,3487,2019,104,23.7,77,10
Eva Cassidy,429,28.6,2016-02-14,2026-03-10,3677,2017,162,37.8,86,10
A$AP Rocky,424,24.3,2015-12-22,2026-09-03,3908,2016,101,23.8,46,12
The Rolling Stones,423,26.4,2011-10-17,2026-06-19,5359,2020,157,37.1,88,13
DJ Khaled,423,28.4,2017-03-26,2026-09-03,3448,2017,135,31.9,80,10
Lil Wayne,418,26.6,2015-12-22,2026-09-03,3908,2016,109,26.1,59,12
Elton John,406,25.3,2011-08-28,2026-06-24,5414,2021,103,25.4,49,12
Taylor Swift,402,24.6,2016-04-27,2026-01-26,3561,2022,120,29.9,87,10
Surf Curse,401,15.6,2021-08-04,2025-12-03,1582,2021,186,46.4,18,5
Frank Ocean,396,22.7,2016-03-06,2025-10-02,3497,2020,196,49.5,39,9
Kasey Chambers,393,27.4,2015-12-30,2026-03-10,3723,2021,182,46.3,19,11
Queen,390,23.8,2016-01-13,2026-05-21,3781,2018,98,25.1,56,11
Maurice Ravel,390,30.7,2016-08-04,2025-07-29,3281,2022,94,24.1,213,10
The National,390,27.0,2017-09-20,2026-03-15,3098,2021,201,51.5,55,9
Wu-Tang Clan,389,25.1,2015-12-22,2026-08-16,3890,2017,109,28.0,62,12
The Weeknd,388,20.4,2015-12-28,2026-01-08,3664,2022,135,34.8,66,12
Владимир Высоцкий,387,15.6,2016-01-07,2026-05-25,3791,2022,207,53.5,108,11
Franz Schubert,379,32.8,2016-01-03,2026-01-10,3660,2022,135,35.6,182,11
Fleetwood Mac,363,21.0,2017-04-25,2026-08-06,3390,2023,104,28.7,68,9
Pusha T,353,19.1,2016-02-16,2026-08-19,3837,2018,92,26.1,63,11
Bone Thugs-N-Harmony,352,23.9,2016-04-20,2026-08-19,3773,2019,107,30.4,33,11
The Piano Guys,334,21.5,2016-02-14,2026-08-07,3827,2022,78,23.4,52,10
Bon Iver,333,20.5,2016-01-19,2025-12-07,3610,2016,123,36.9,39,10
Gang Starr,332,17.4,2015-12-21,2026-05-06,3789,2019,65,19.6,50,12
Diddy,332,22.9,2015-12-22,2026-07-21,3864,2020,76,22.9,41,12
Doja Cat,325,15.8,2020-01-12,2024-04-18,1558,2021,178,54.8,18,5
Bonnie Tyler,320,19.4,2016-05-26,2026-06-23,3680,2022,105,32.8,24,10
Miles Davis,320,28.0,2016-06-01,2024-05-09,2899,2018,182,56.9,79,7
Common,316,16.0,2015-12-22,2026-09-03,3908,2020,88,27.8,41,11
Mariah Carey,310,18.7,2015-12-30,2026-09-03,3900,2019,81,26.1,79,12
Master P,310,24.7,2016-09-08,2026-08-13,3626,2018,122,39.4,12,10
J. Cole,307,17.4,2015-12-22,2026-02-12,3705,2022,59,19.2,85,11
Cold Chilling Collective,307,16.6,2019-10-28,2026-08-19,2487,2025,87,28.3,11,8
Mac Miller,304,21.0,2017-04-25,2026-09-03,3418,2020,216,71.1,50,9
