track,artist,album,streams,first,love,days_to_love,kind,peak_month,peak_month_streams,burst30,last,years
Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,Facing Future,4638,2015-12-30,2016-08-02,216,Slow burn,2023-07,763,955,2026-08-13,12
Fur Elise,Ludwig van Beethoven,The Most Relaxing Classical Music In The Universe,1215,2016-11-04,2016-11-10,6,Instant love,2021-10,383,488,2026-03-10,8
"Für Elise, WoO 59",Ludwig van Beethoven,Beethoven Greatest Hits,776,2018-10-25,2018-11-03,9,Quick rise,2020-01,450,450,2024-08-25,7
Lost Cause,Beck,Sea Change,514,2016-03-13,2016-06-10,89,Slow burn,2021-10,319,319,2026-02-02,11
A Fond Farewell,Elliott Smith,From A Basement On The Hill,468,2020-02-18,2020-02-27,9,Quick rise,2021-10,315,316,2023-04-26,4
Rondo Alla Turca (Turkish March),Brain Power Amadeus,Mozart Effect,449,2021-09-17,2021-09-17,0,Instant love,2021-10,310,321,2024-10-11,4
Dve Gitari,Singin' Strings,Dve Gitari,445,2016-01-26,2016-06-02,128,Slow burn,2021-12,43,43,2026-03-28,11
Over the Rainbow,Israel Kamakawiwo'ole,Alone In Iz World,445,2016-02-14,2016-07-31,168,Slow burn,2022-05,169,171,2026-07-02,11
Für Elise,Ludwig van Beethoven,Classical Piano Chillout,430,2022-05-16,2022-05-17,1,Instant love,2022-05,429,429,2023-04-09,2
Супермарио,Перемотка,Начало прекрасной дружбы,409,2023-01-29,2023-01-31,2,Instant love,2023-01,177,230,2026-03-11,4
Nothing Compares 2 U - Live At SiriusXM/2015,Chris Cornell,Chris Cornell,376,2018-11-20,2020-11-29,740,Late rediscovery,2025-08,63,63,2026-04-01,9
Meet Again,Maxo Kream,Brandon Banks,374,2019-10-28,2020-03-06,130,Slow burn,2026-04,74,92,2026-08-13,7
Freaks,Surf Curse,Freaks,374,2021-08-04,2021-11-28,116,Slow burn,2021-11,100,172,2025-12-03,5
The Captain,Kasey Chambers,The Captain,318,2015-12-30,2016-06-15,168,Slow burn,2021-10,180,180,2026-03-10,11
Fur Elise,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,300,2016-08-25,2016-11-02,69,Slow burn,2018-10,271,271,2020-03-15,4
First Day Out,Tee Grizzley,My Moment,283,2017-06-16,2017-06-16,0,Instant love,2017-07,54,78,2026-08-12,8
If I Had,Eminem,The Slim Shady LP,282,2017-04-23,2017-05-03,10,Quick rise,2026-04,178,188,2026-06-28,8
I Miss My Homies,Master P,Ghetto D,277,2017-08-15,2018-01-23,161,Slow burn,2018-02,31,48,2026-08-13,9
Whatever You Like - Single Version,Anya Marina,Whatever You Like [Digital 45],253,2019-10-25,2019-10-28,3,Instant love,2025-08,61,62,2026-06-23,8
Bloodbuzz Ohio,The National,High Violet,243,2021-04-22,2021-05-04,12,Quick rise,2021-05,113,115,2026-03-15,6
Angela (Theme From Taxi),Bob James,Touchdown,241,2019-04-03,2020-04-23,386,Late rediscovery,2021-10,65,72,2025-08-01,7
Hey Ya - solo version,Obadiah Parker,The Tip Jar Volume One,236,2016-05-31,2016-08-16,77,Slow burn,2025-08,63,63,2026-04-01,10
Suicidal Thoughts - 2005 Remaster,The Notorious B.I.G.,Ready to Die,233,2015-12-24,2026-03-31,3750,Late rediscovery,2026-04,168,185,2026-06-25,10
Show Da World,Jeroxzy,Show Da World (feat. Kiara),233,2016-07-22,2016-08-10,19,Quick rise,2016-08,99,112,2023-08-30,8
