track,artist,album,streams,last
Fur Elise,Ludwig van Beethoven,The Most Relaxing Classical Music In The Universe,1215,2026-03-10
"Für Elise, WoO 59",Ludwig van Beethoven,Beethoven Greatest Hits,776,2024-08-25
Für Elise,Ludwig van Beethoven,Classical Piano Chillout,430,2023-04-09
Fur Elise,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,300,2020-03-15
If I Had,Eminem,The Slim Shady LP,282,2026-06-28
Hallelujah - Fragments [Single Version],John Cale,Hallelujah,177,2026-02-02
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,Chopin: Nocturnes,173,2025-07-29
Photograph,Arcade Fire,Her (Original Score),173,2026-07-20
Première Gymnopédie,Erik Satie,Satie: Avant-dernières pensées,160,2026-01-26
Hévenu Shalom Aléchem,Barcelona Gipsy Klezmer Orchestra,Imbarca,155,2026-03-10
We're All Leaving,Arcade Fire,Her (Original Score),154,2026-07-20
A Fond Farewell,Elliott Smith,From A Basement On The Hill,140,2026-02-02
Forgot About Dre,Dr. Dre,2001,139,2026-03-30
Time Is On My Side - Mono Version,The Rolling Stones,The Rolling Stones No. 2,135,2023-09-12
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",132,2026-02-20
All The Small Things,Scott Bradlee's Postmodern Jukebox,Fake Blues,131,2026-04-03
Skinny Love,Bon Iver,"For Emma, Forever Ago",130,2021-08-22
Nice For What,Drake,Scorpion,130,2026-08-19
Making Love Out of Nothing at All,Air Supply,All Out Of Love,125,2026-03-15
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto (Excerpt)",Ludwig van Beethoven,Classical Chillout,124,2021-11-21
100 (feat. Drake),The Game,The Documentary 2,122,2020-04-16
Circles,Post Malone,Hollywood's Bleeding,118,2025-12-07
Tha Crossroads,Cold Chilling Collective,Cold Chilling - Compton,117,2026-07-21
"Comptine d'un autre été, l'après-midi",Yann Tiersen,Amélie,116,2021-11-08
Photographs - Piano,James Murphy,Greenberg Original Motion Picture Soundtrack,115,2026-07-20
"Nocturne No. 19 in E Minor, Op. 72, No. 1",Frédéric Chopin,"Benjamin Grosvenor: Chopin, Liszt, Ravel",113,2025-07-29
Satie / Orch. Ducros: Gymnopédie No. 1,Erik Satie,Emotions,113,2023-02-25
Send Me on My Way (Acoustic),Colin & Caroline,Send Me on My Way (Acoustic),113,2023-06-20
Lifestyles of the Rich & Famous,Good Charlotte,The Young and The Hopeless,112,2026-03-15
Hallelujah,Jeff Buckley,Grace,110,2025-09-22
Dispute,Yann Tiersen,The Lighthouse,106,2020-01-01
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",104,2024-08-25
Grillz,Nelly,Sweatsuit,103,2025-10-03
Hallelujah,The Game,Jesus Piece,102,2026-08-16
Wagon Wheel,Darius Rucker,True Believers,101,2026-06-27
Fur Elise,Ludwig van Beethoven,50 Piano Classics,100,2021-09-11
Les Jours tristes - Instrumental,Yann Tiersen,Amélie,100,2021-11-08
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,Bach: Unaccompanied Cello Suites,99,2025-10-08
Fields Of Gold,Eva Cassidy,Songbird,99,2026-03-10
"Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",Frédéric Chopin,Chopin: Nocturnes,97,2025-07-29
