ym,streams,hours,new_tracks,explore_pct,cut_pct,skip_pct
2011-08,20,1.1,20,100.0,68.9,55.6
2011-09,46,2.5,45,97.8,40.7,22.0
2011-10,45,2.1,42,97.8,58.3,23.3
2011-11,15,0.9,14,93.3,58.3,37.5
2012-04,4,0.1,4,100.0,100.0,50.0
2012-05,1,0.1,0,100.0,100.0,0.0
2012-06,42,2.4,39,92.9,48.2,25.0
2012-07,6,0.3,6,100.0,100.0,60.0
2015-12,344,18.8,221,99.4,77.1,63.2
2016-01,1035,71.1,468,96.4,53.8,38.9
2016-02,969,61.6,396,65.7,59.9,46.3
2016-03,1276,89.7,286,43.4,54.1,44.2
2016-04,1303,85.2,567,74.5,33.8,26.2
2016-05,2048,132.2,787,71.3,28.4,20.3
2016-06,2873,168.3,868,60.9,61.8,51.4
2016-07,2603,152.8,871,67.5,43.9,34.0
2016-08,3265,185.5,795,60.2,50.4,37.6
2016-09,2681,159.3,630,51.8,39.5,29.0
2016-10,170,10.2,47,43.5,25.5,16.3
2016-11,778,33.2,84,36.1,17.5,13.4
2016-12,33,1.1,0,3.0,2.8,2.8
2017-02,785,45.9,358,54.0,37.3,26.6
2017-03,1228,66.6,435,49.0,41.0,30.4
2017-04,1261,68.9,451,62.0,49.6,36.5
2017-05,1722,92.5,562,57.4,55.4,41.9
2017-06,1304,67.0,556,68.3,50.9,35.6
2017-07,1660,84.4,495,48.9,51.3,39.6
2017-08,1375,79.4,476,47.4,45.0,33.2
2017-09,744,44.8,286,49.3,25.9,20.1
2017-10,1584,99.3,586,47.6,24.0,15.5
2017-11,2172,145.6,767,53.5,24.1,15.8
2017-12,991,60.3,422,56.0,32.5,23.4
2018-01,1247,84.6,322,34.6,30.8,24.5
2018-02,1644,108.8,632,56.4,46.5,41.1
2018-03,1409,95.2,375,50.5,33.2,27.2
2018-04,727,43.6,218,39.1,47.0,38.1
2018-05,766,45.6,235,34.5,48.9,41.5
2018-06,301,17.4,95,54.8,33.3,23.4
2018-07,313,16.5,127,76.4,30.5,24.6
2018-08,927,55.0,237,38.5,47.5,41.0
2018-09,815,51.9,239,43.9,53.8,45.5
2018-10,1081,60.8,176,36.5,46.0,40.0
2018-11,1906,119.9,551,47.0,38.1,31.8
2018-12,486,30.7,144,36.0,26.1,21.2
2019-01,1776,114.9,529,45.9,34.1,26.2
2019-02,1346,86.0,373,42.2,34.8,25.6
2019-03,995,61.6,285,38.8,29.3,21.1
2019-04,1147,70.2,364,40.9,28.8,20.0
2019-05,1379,80.6,398,43.4,40.4,32.1
2019-06,1062,65.3,457,58.5,17.4,12.6
2019-07,1520,96.9,369,48.6,19.3,15.8
2019-08,1189,72.9,475,59.5,7.5,5.2
2019-09,1391,87.4,503,51.8,27.7,20.7
2019-10,2408,149.3,602,41.6,34.0,27.0
2019-11,1872,115.4,377,50.2,33.8,27.3
2019-12,571,36.2,196,46.4,41.9,33.7
2020-01,1048,59.9,136,25.2,26.0,19.0
2020-02,2303,143.6,510,37.8,41.4,33.4
2020-03,1800,119.7,502,37.9,32.4,23.3
2020-04,2287,141.8,760,45.3,31.5,21.7
2020-05,1196,57.6,542,63.9,24.7,18.2
2020-06,866,58.0,319,45.6,54.7,46.9
2020-07,1072,61.2,140,53.3,29.0,23.4
2020-08,786,51.1,193,29.4,34.0,24.0
2020-09,1036,66.8,202,22.7,38.6,27.9
2020-10,1088,68.9,223,31.9,50.8,40.5
2020-11,1219,71.2,211,25.4,55.4,44.6
2020-12,1421,77.4,282,27.6,67.3,54.4
2021-01,184,10.7,28,27.7,42.3,31.0
2021-02,173,9.2,13,11.0,68.4,58.2
2021-03,522,29.2,99,33.9,44.1,33.7
2021-04,1119,66.3,415,51.8,52.2,41.8
2021-05,2376,146.8,608,41.8,62.9,52.8
2021-06,2448,158.1,684,46.9,41.3,31.9
2021-07,1188,59.4,187,31.1,37.2,24.7
2021-08,1364,74.9,376,41.9,49.8,36.6
2021-09,2777,155.9,535,38.1,35.6,24.0
2021-10,5865,371.8,827,38.6,22.9,15.5
2021-11,3776,232.6,807,46.3,32.7,21.4
2021-12,2370,143.7,506,48.1,38.3,25.7
2022-01,1046,60.5,180,37.7,53.1,39.0
2022-02,305,16.3,83,36.1,44.0,36.1
2022-03,4944,296.0,1326,46.3,26.8,17.1
2022-04,3152,178.4,969,48.9,21.8,14.1
2022-05,4955,277.8,2206,68.0,15.2,8.9
2022-06,6034,328.9,2756,61.9,20.4,12.0
2022-07,3320,183.8,985,46.5,29.5,20.4
2022-08,1473,68.8,402,40.8,58.9,47.9
2022-09,4169,213.1,1912,52.9,23.9,15.9
2022-10,2795,148.5,1043,44.1,36.3,28.8
2022-11,1832,104.6,605,39.7,42.1,32.5
2022-12,2359,120.5,1026,51.1,42.1,34.7
2023-01,2839,147.0,801,44.7,28.5,21.2
2023-02,3123,171.4,768,44.2,25.1,17.4
2023-03,1658,91.2,437,36.4,30.0,18.7
2023-04,1667,87.8,252,22.3,50.4,37.2
2023-05,1278,61.4,258,28.6,43.5,32.4
2023-06,926,43.7,248,37.7,48.4,38.1
2023-07,1209,87.6,54,5.7,22.9,17.6
2023-08,1199,90.3,42,5.5,27.9,21.0
2023-09,1869,107.0,581,33.0,22.1,16.3
2023-10,2075,125.1,362,26.8,24.1,18.5
2023-11,1821,93.6,575,34.0,26.7,20.0
2023-12,1905,109.2,252,20.4,13.0,7.8
2024-01,290,14.7,79,27.6,1.7,0.0
2024-02,269,20.1,20,7.4,11.8,6.9
2024-03,1791,108.4,201,17.9,10.8,6.4
2024-04,1983,111.2,433,26.6,15.2,10.0
2024-05,653,35.6,125,35.1,17.1,10.5
2024-06,339,20.3,26,10.6,18.0,16.0
2024-07,2111,142.7,537,28.6,14.4,9.3
2024-08,1514,77.8,226,28.7,36.1,25.0
2024-09,525,29.0,53,17.5,76.5,67.4
2024-10,149,8.5,8,8.1,74.0,66.0
2024-11,92,7.1,5,6.5,6.2,3.1
2024-12,224,16.7,4,3.6,9.3,5.1
2025-01,11,0.4,10,100.0,100.0,8.3
2025-02,15,1.0,0,0.0,42.9,28.6
2025-03,71,4.5,2,2.8,53.4,38.1
2025-04,2,0.1,2,100.0,0.0,0.0
2025-05,279,15.1,43,17.2,80.1,66.5
2025-06,100,4.9,15,15.0,73.2,61.3
2025-07,413,27.1,73,18.2,61.0,53.4
2025-08,2108,126.5,129,14.0,68.0,56.6
2025-09,484,27.8,68,18.2,43.1,30.9
2025-10,560,34.6,133,26.6,44.5,34.3
2025-11,493,24.2,84,37.9,57.9,44.2
2025-12,208,11.4,34,21.2,71.4,57.9
2026-01,644,33.2,159,36.8,69.5,62.6
2026-02,554,31.2,162,50.7,50.1,38.4
2026-03,1401,91.8,227,20.9,61.1,54.0
2026-04,1950,121.3,50,5.0,36.3,31.4
2026-05,452,27.4,27,11.7,38.9,28.5
2026-06,965,51.3,122,24.6,68.1,52.1
2026-07,259,17.1,4,5.0,27.7,17.5
2026-08,361,22.4,35,10.2,41.0,25.8
2026-09,45,2.1,11,26.7,55.9,33.8
