name,size,modified,plays,recent,never,top,top_plays
Sad Songs Say So Much,89,2026-09-05,10099,1361,2,Somewhere Over The Rainbow_What A Wonderful World — Israel Kamakawiwo'ole,4638
Songs on Repeat,20,2023-02-01,8520,182,0,Somewhere Over The Rainbow_What A Wonderful World — Israel Kamakawiwo'ole,4638
Emo songs,20,2023-11-19,7487,171,0,Somewhere Over The Rainbow_What A Wonderful World — Israel Kamakawiwo'ole,4638
My recommendation playlist,10,2023-10-19,5534,169,3,Somewhere Over The Rainbow_What A Wonderful World — Israel Kamakawiwo'ole,4638
My recommendation playlist,10,2023-10-19,5526,169,4,Somewhere Over The Rainbow_What A Wonderful World — Israel Kamakawiwo'ole,4638
Faves,18,2023-12-14,8765,169,0,Somewhere Over The Rainbow_What A Wonderful World — Israel Kamakawiwo'ole,4638
Sundry,188,2025-08-05,10814,120,18,Dve Gitari — Singin' Strings,445
Jan2026 songs,18,2026-04-12,1001,107,0,If I Had — Eminem,282
July2025Songs,22,2025-08-22,3118,78,0,Супермарио — Перемотка,409
Poetry spoken word,6,2026-05-14,92,67,1,The Love Song of J. Alfred Prufrock — T. S. Eliot,33
Good Chill Shit,39,2022-11-16,3668,49,0,Whatever You Like - Single Version — Anya Marina,253
July2025Songs Rejects,15,2025-08-22,972,37,0,No Matter What — T.I.,203
June Songs 2023,10,2023-06-21,1733,12,0,Lost Cause — Beck,514
Random Songs,8,2023-11-19,1131,11,0,Супермарио — Перемотка,409
Songs April 2023,7,2023-11-19,1025,0,0,A Fond Farewell — Elliott Smith,468
Repeat Songs Feb 2023,10,2023-04-05,3144,0,0,Fur Elise — Ludwig van Beethoven,1215
