track,artist,album,streams,years,last,away_days,away_years
"Für Elise, WoO 59",Ludwig van Beethoven,Beethoven Greatest Hits,776,7,2024-08-25,740,2.0
A Fond Farewell,Elliott Smith,From A Basement On The Hill,468,4,2023-04-26,1227,3.4
Rondo Alla Turca (Turkish March),Brain Power Amadeus,Mozart Effect,449,4,2024-10-11,693,1.9
Für Elise,Ludwig van Beethoven,Classical Piano Chillout,430,2,2023-04-09,1244,3.4
Fur Elise,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,300,4,2020-03-15,2364,6.5
Angela (Theme From Taxi),Bob James,Touchdown,241,7,2025-08-01,399,1.1
Show Da World,Jeroxzy,Show Da World (feat. Kiara),233,8,2023-08-30,1101,3.0
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,Chopin: Nocturnes,173,8,2025-07-29,402,1.1
Take Us Out,Jerry Goldsmith,Rudy,151,6,2022-10-12,1423,3.9
Pat Earrings,CASISDEAD,Pat Earrings,144,2,2020-12-04,2100,5.8
Time Is On My Side - Mono Version,The Rolling Stones,The Rolling Stones No. 2,135,3,2023-09-12,1088,3.0
Skinny Love,Bon Iver,"For Emma, Forever Ago",130,6,2021-08-22,1839,5.0
Crown of Love,Arcade Fire,Funeral,128,5,2025-07-10,421,1.2
98 Freestyle,Big L,The Big Picture,126,5,2020-06-16,2271,6.2
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto (Excerpt)",Ludwig van Beethoven,Classical Chillout,124,2,2021-11-21,1748,4.8
100 (feat. Drake),The Game,The Documentary 2,122,6,2020-04-16,2332,6.4
"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",Frédéric Chopin,"Chopin: Nocturnes, Vol. 1",119,9,2025-07-28,403,1.1
"Comptine d'un autre été, l'après-midi",Yann Tiersen,Amélie,116,5,2021-11-08,1761,4.8
Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon,115,6,2025-08-11,389,1.1
"Nocturne No. 19 in E Minor, Op. 72, No. 1",Frédéric Chopin,"Benjamin Grosvenor: Chopin, Liszt, Ravel",113,8,2025-07-29,402,1.1
Satie / Orch. Ducros: Gymnopédie No. 1,Erik Satie,Emotions,113,3,2023-02-25,1287,3.5
Send Me on My Way (Acoustic),Colin & Caroline,Send Me on My Way (Acoustic),113,3,2023-06-20,1172,3.2
Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,109,5,2023-09-08,1092,3.0
Dispute,Yann Tiersen,The Lighthouse,106,5,2020-01-01,2438,6.7
Антисемиты,Владимир Высоцкий,"Формулировка (Весь Высоцкий, том 2)",105,4,2025-08-11,389,1.1
"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,"Beethoven: Piano Sonatas, Vol.3",104,9,2024-08-25,740,2.0
The Middle,Jimmy Eat World,Bleed American,104,6,2025-08-02,398,1.1
It's a Heartache,Bonnie Tyler,Natural Force,104,2,2022-04-13,1605,4.4
Multiply (feat. Juicy J),A$AP Rocky,Multiply (feat. Juicy J),102,9,2023-09-07,1093,3.0
Sandra’s Rose,Drake,Scorpion,102,8,2025-08-03,397,1.1
"Vedrai, vedrai",Luigi Tenco,Italia Amore Mio,101,5,2023-01-28,1315,3.6
Fur Elise,Ludwig van Beethoven,50 Piano Classics,100,2,2021-09-11,1819,5.0
Les Jours tristes - Instrumental,Yann Tiersen,Amélie,100,5,2021-11-08,1761,4.8
Für Elise,Ludwig van Beethoven,Classical Best Of,100,4,2024-01-15,963,2.6
"Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1",Frédéric Chopin,Chopin: Nocturnes,97,6,2025-07-29,402,1.1
La valse d'Amélie,Yann Tiersen,Amélie,96,5,2021-11-08,1761,4.8
Cold Heart - PNAU Remix,Elton John,The Lockdown Sessions,96,3,2023-10-18,1052,2.9
Il cielo en una stanza,Mina,Italia Amore Mio,95,5,2023-01-22,1321,3.6
California Stars,Billy Bragg,Mermaid Avenue,91,3,2023-01-29,1314,3.6
"Suicide Is Painless - From the 20th Century-Fox film """"M*A*S*H""",Johnny Mandel,M*A*S*H (Soundtrack),89,5,2022-10-07,1428,3.9
What If,Fredro Starr,Firestarr,86,4,2020-06-13,2274,6.2
"Preludes, Op. 28: No. 4, Largo",Frédéric Chopin,Chopin: Préludes,85,6,2024-10-11,693,1.9
Heat Waves,Glass Animals,Dreamland,85,2,2022-12-03,1371,3.8
Meet Again,Maxo Kream,Brandon Banks,84,2,2020-06-13,2274,6.2
"Fantasy on Polish Airs, Op. 13: Largo non troppo",Frédéric Chopin,Chopin: Works For Piano & Orchestra,84,6,2025-07-28,403,1.1
Давай-наяривай,Lyube,"Кто сказал, что мы плохо жили...?",83,3,2024-03-14,904,2.5
Dead And Gone - feat. Justin Timberlake,T.I.,Paper Trail,82,3,2017-06-28,3355,9.2
Back That Azz Up,JUVENILE,400 Degreez,82,7,2022-03-21,1628,4.5
redesign,awfultune,redesign,82,4,2024-10-11,693,1.9
Making Love Out of Nothing at All,Air Supply,Ultimate Air Supply,81,4,2020-01-31,2408,6.6
"Nocturne in C-sharp minor, B. 49",Frédéric Chopin,Chopin: Complete Nocturnes,81,8,2025-07-28,403,1.1
Beethoven's 5 Secrets,The Piano Guys,The Piano Guys,80,3,2019-06-19,2634,7.2
One Day (feat. Mr. 3-2 & Ronnie Spencer),UGK,Ridin' Dirty,80,6,2025-08-19,381,1.0
L'autre valse d'Amélie,Yann Tiersen,Amélie,79,5,2021-11-08,1761,4.8
God's Plan,Drake,Scorpion,79,8,2025-06-25,436,1.2
"Chopin: Nocturne No. 8 in D-Flat Major, Op. 27 No. 2",Frédéric Chopin,Gabriela Montero: Piano Recital,79,7,2025-07-28,403,1.1
La Valse d'Amélie - Version piano,Yann Tiersen,Amélie,77,5,2021-11-08,1761,4.8
I'm On Fire,Bruce Springsteen,Born In The U.S.A.,76,7,2024-09-25,709,1.9
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",Eminem,Music To Be Murdered By,76,4,2023-09-12,1088,3.0
Tha Crossroads,Cold Chilling Collective,Cold Chilling - Compton,76,3,2022-10-08,1427,3.9
