track,artist,album,run,start,end,streams
"Für Elise, WoO 59",Ludwig van Beethoven,Beethoven Greatest Hits,339,2020-01-08T12:55-05:00,2020-01-12T15:40-05:00,776
Fur Elise,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,271,2018-10-25T23:53-04:00,2018-10-26T07:54-04:00,300
Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,Facing Future,216,2026-04-08T20:58-04:00,2026-04-09T15:24-04:00,4638
Fur Elise,Ludwig van Beethoven,The Most Relaxing Classical Music In The Universe,193,2021-06-29T23:23-04:00,2021-07-01T22:05-04:00,1215
Супермарио,Перемотка,Начало прекрасной дружбы,172,2023-01-31T02:17-05:00,2023-01-31T15:56-05:00,409
Für Elise,Ludwig van Beethoven,Classical Piano Chillout,170,2022-05-17T23:20-04:00,2022-05-18T20:34-04:00,430
Over the Rainbow,Israel Kamakawiwo'ole,Alone In Iz World,145,2022-05-03T23:40-04:00,2022-05-04T18:58-04:00,445
Time Is On My Side - Mono Version,The Rolling Stones,The Rolling Stones No. 2,125,2020-07-22T01:20-04:00,2020-07-22T10:30-04:00,135
Fur Elise,Ludwig van Beethoven,50 Piano Classics,92,2021-07-07T04:09-04:00,2021-07-07T11:28-04:00,100
Moonlight Sonata,Baby Mozart,Classical Lullabies: Classic Piano for Babies,75,2018-11-02T04:09-04:00,2018-11-02T09:49-04:00,81
Freaks,Surf Curse,Freaks,69,2021-11-28T03:23-05:00,2021-11-28T05:35-05:00,374
Moonlight Sonata (1st Movement),Rousseau,Moonlight Sonata (1st Movement),55,2018-10-26T22:40-04:00,2018-10-27T10:43-04:00,64
Crown of Love,Arcade Fire,Funeral,46,2021-11-20T18:43-05:00,2021-11-20T21:06-05:00,128
Hallelujah,Jeff Buckley,You and I (Expanded Edition),45,2023-08-02T06:10-04:00,2023-08-02T11:30-04:00,47
Fur Elise,The Harp Players,Classical Baby Harp,43,2018-11-03T01:12-04:00,2018-11-03T12:28-04:00,55
Für Elise,Junior dos Santos Silva,Betoven - Best Piano Pieces,43,2022-05-25T11:01-04:00,2022-05-25T17:32-04:00,51
Für Elise,Ludwig van Beethoven,Classical Best Of,42,2022-09-12T13:27-04:00,2022-09-12T15:25-04:00,100
Meet Again,Maxo Kream,Brandon Banks,35,2020-03-06T15:20-05:00,2020-03-06T20:17-05:00,374
Not Dark Yet,Bob Dylan,Time Out Of Mind,33,2022-06-12T05:57-04:00,2022-06-12T12:36-04:00,65
Insensitive,Jann Arden,Living Under June,31,2022-09-04T04:07-04:00,2022-09-04T06:23-04:00,54
Für Elise,Junior dos Santos Silva,Bethoveen Complete Works and Other Piano Masterpieces,30,2020-06-29T20:24-04:00,2020-06-30T17:20-04:00,39
Wonder,Natalie Merchant,Tigerlily,26,2020-11-14T22:02-05:00,2020-11-15T14:51-05:00,50
Carnival,Natalie Merchant,Tigerlily,24,2016-06-13T03:28-04:00,2016-06-13T05:47-04:00,68
Show Da World,Jeroxzy,Show Da World (feat. Kiara),19,2016-08-14T16:29-04:00,2016-08-14T17:48-04:00,233
Für Elise,Brain Power Amadeus,Mozart Effect,19,2021-07-04T20:02-04:00,2021-07-05T02:59-04:00,25
Rhapsody in Blue,George Gershwin,Gershwin: Rhapsody in Blue & An American in Paris,19,2022-06-29T02:43-04:00,2022-06-29T07:33-04:00,25
Hurt,Johnny Cash,American IV: The Man Comes Around,17,2023-08-08T18:22-04:00,2023-08-08T19:16-04:00,50
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,17,2018-11-04T12:29-05:00,2018-11-05T10:55-05:00,29
Good News,Mac Miller,Circles,16,2020-04-03T12:29-04:00,2020-04-03T20:15-04:00,136
The Kind of Love We Make,Luke Combs,Growin' Up,15,2022-10-20T23:20-04:00,2022-10-21T00:10-04:00,31
Moonlight Sonata - Original Mix,cYsmix,Escapism,15,2018-10-26T08:29-04:00,2018-10-26T09:30-04:00,15
Skinny Love,Bon Iver,"For Emma, Forever Ago",14,2016-02-23T12:54-05:00,2016-02-23T14:15-05:00,130
Not Dark Yet,Bob Dylan,Wonder Boys - Music From The Motion Picture,13,2016-08-14T23:33-04:00,2016-08-15T00:51-04:00,27
Антисемиты,Владимир Высоцкий,Архив. Записи Константина Мустафиди. Оригинал четвертый (1973 год) [Часть 2],10,2022-08-03T10:18-04:00,2022-08-03T11:03-04:00,48
Living In The Heart Of Love,The Rolling Stones,Tattoo You - Super Deluxe,10,2021-11-30T15:03-05:00,2021-11-30T15:04-05:00,10
Amelie,Pereza,Aviones,9,2016-08-06T14:23-04:00,2016-08-06T16:48-04:00,62
An Irish Airman Forsees His Death,Aiden Gillen,Irish Poetry,9,2020-11-27T19:18-05:00,2020-11-27T19:25-05:00,13
Hey Ya - solo version,Obadiah Parker,The Tip Jar Volume One,8,2016-08-19T11:19-04:00,2016-08-19T12:43-04:00,236
exile (feat. Bon Iver),Taylor Swift,folklore,8,2023-09-23T17:38-04:00,2023-09-23T18:12-04:00,148
These Are The Days Of Our Lives,Queen,Innuendo,8,2018-10-28T22:41-04:00,2018-10-30T10:58-04:00,20
