year,hours,artist_1,artist_2,artist_3,artist_4,artist_5
2011,7,U2,The Magnetic Fields,Serge Gainsbourg,Stereolab,Queens of the Stone Age
2015,19,Drake,Johann Sebastian Bach,T.I.,The Notorious B.I.G.,The Game
2016,1150,Glenn Gould,Johann Sebastian Bach,The Game,Kanye West,Erik Satie
2017,855,Yann Tiersen,Fur Elise,Tee Grizzley,Erik Satie,Ludwig van Beethoven
2018,730,Ludwig van Beethoven,Yann Tiersen,Erik Satie,Frédéric Chopin,Drake
2019,1037,Frédéric Chopin,Domenico Scarlatti,Yann Tiersen,Post Malone,Drake
2020,977,Frédéric Chopin,Ludwig van Beethoven,JAY-Z,Eminem,The Notorious B.I.G.
2021,1459,Ludwig van Beethoven,Frédéric Chopin,Arcade Fire,Johann Sebastian Bach,Israel Kamakawiwo'ole
2022,1997,Frédéric Chopin,Ludwig van Beethoven,Arcade Fire,Drake,Yann Tiersen
2023,1215,Israel Kamakawiwo'ole,Перемотка,Elliott Smith,Ludwig van Beethoven,Yann Tiersen
2024,592,Israel Kamakawiwo'ole,Elliott Smith,Eminem,Frédéric Chopin,The Notorious B.I.G.
2025,278,Перемотка,T.I.,Eminem,Big L,Frédéric Chopin
2026,398,Israel Kamakawiwo'ole,Eminem,The Notorious B.I.G.,Arcade Fire,James Murphy
