track,artist,album,plays,hours,first,last,days,peak_year,peak_plays,skip_rate,top_device,recent,base,years_active
Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,Facing Future,4638,391.3,2015-12-30,2026-08-13,337,2023,1686,3.9,Speaker,169,880,12
Fur Elise,Ludwig van Beethoven,The Most Relaxing Classical Music In The Universe,1215,56.4,2016-11-04,2026-03-10,168,2021,947,11.3,Speaker,0,7,8
"Für Elise, WoO 59",Ludwig van Beethoven,Beethoven Greatest Hits,776,40.1,2018-10-25,2024-08-25,53,2020,512,6.0,iPhone,0,0,7
Lost Cause,Beck,Sea Change,514,32.1,2016-03-13,2026-02-02,129,2021,323,13.9,Speaker,0,5,11
A Fond Farewell,Elliott Smith,From A Basement On The Hill,468,29.9,2020-02-18,2023-04-26,93,2021,326,17.2,Speaker,0,0,4
Rondo Alla Turca (Turkish March),Brain Power Amadeus,Mozart Effect,449,22.6,2021-09-17,2024-10-11,41,2021,404,8.7,Speaker,0,0,4
Dve Gitari,Singin' Strings,Dve Gitari,445,28.3,2016-01-26,2026-03-28,250,2022,95,28.0,iPhone,0,13,11
Over the Rainbow,Israel Kamakawiwo'ole,Alone In Iz World,445,25.6,2016-02-14,2026-07-02,176,2022,209,13.7,Speaker,3,9,11
Für Elise,Ludwig van Beethoven,Classical Piano Chillout,430,22.6,2022-05-16,2023-04-09,6,2022,429,0.0,Speaker,0,0,2
Супермарио,Перемотка,Начало прекрасной дружбы,409,15.9,2023-01-29,2026-03-11,99,2023,298,11.1,iPhone,0,97,4
Nothing Compares 2 U - Live At SiriusXM/2015,Chris Cornell,Chris Cornell,376,29.5,2018-11-20,2026-04-01,196,2021,114,32.5,iPhone,0,91,9
Meet Again,Maxo Kream,Brandon Banks,374,30.9,2019-10-28,2026-08-13,142,2020,141,26.8,iPhone,31,160,7
Freaks,Surf Curse,Freaks,374,14.4,2021-08-04,2025-12-03,128,2021,183,28.4,iPhone,0,77,5
The Captain,Kasey Chambers,The Captain,318,23.4,2015-12-30,2026-03-10,105,2021,182,15.1,Speaker,0,7,11
Fur Elise,Bedtime Baby,Baby Music: Help Your Baby Sleep Through The Night,300,8.8,2016-08-25,2020-03-15,16,2018,279,3.8,iPhone,0,0,4
First Day Out,Tee Grizzley,My Moment,283,18.1,2017-06-16,2026-08-12,128,2017,145,29.5,iPhone,2,31,8
If I Had,Eminem,The Slim Shady LP,282,18.4,2017-04-23,2026-06-28,68,2026,246,16.7,Speaker,37,211,8
I Miss My Homies,Master P,Ghetto D,277,22.8,2017-08-15,2026-08-13,191,2018,112,35.7,iPhone,24,7,9
Whatever You Like - Single Version,Anya Marina,Whatever You Like [Digital 45],253,14.8,2019-10-25,2026-06-23,157,2025,73,35.4,iPhone,1,78,8
Bloodbuzz Ohio,The National,High Violet,243,17.7,2021-04-22,2026-03-15,99,2021,128,30.2,iPhone,0,11,6
Angela (Theme From Taxi),Bob James,Touchdown,241,21.0,2019-04-03,2025-08-01,99,2021,76,35.7,iPhone,0,2,7
Hey Ya - solo version,Obadiah Parker,The Tip Jar Volume One,236,17.8,2016-05-31,2026-04-01,121,2025,76,36.8,iPhone,0,81,10
Suicidal Thoughts - 2005 Remaster,The Notorious B.I.G.,Ready to Die,233,10.9,2015-12-24,2026-06-25,53,2026,206,17.5,Speaker,29,178,10
Show Da World,Jeroxzy,Show Da World (feat. Kiara),233,15.5,2016-07-22,2023-08-30,95,2016,120,25.2,iPhone,0,0,8
No Matter What,T.I.,Paper Trail,203,16.1,2019-05-14,2025-10-12,108,2025,72,37.1,iPhone,0,72,7
Streets of Philadelphia,Bruce Springsteen,PHILADELPHIA - Music From The Motion Picture,185,12.9,2018-04-28,2026-02-02,121,2021,54,20.3,Speaker,0,5,9
Hallelujah - Fragments [Single Version],John Cale,Hallelujah,177,13.4,2016-11-14,2026-02-02,74,2023,85,15.2,Speaker,0,2,10
Forever,Drake,More Than A Game,174,14.9,2016-01-05,2025-10-12,134,2016,51,46.2,iPhone,0,6,8
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,Chopin: Nocturnes,173,12.6,2018-02-02,2025-07-29,131,2022,45,19.0,iPhone,0,2,8
Photograph,Arcade Fire,Her (Original Score),173,6.9,2021-03-27,2026-07-20,57,2026,119,13.0,iPhone,30,89,4
Put Your Money on Me,Arcade Fire,Everything Now,164,14.9,2017-07-29,2026-08-12,44,2021,151,23.9,iPhone,1,0,7
Lose Yourself,Eminem,Curtain Call: The Hits,160,13.3,2016-02-19,2026-06-27,113,2017,34,38.8,iPhone,1,8,11
Première Gymnopédie,Erik Satie,Satie: Avant-dernières pensées,160,8.5,2017-03-15,2026-01-26,132,2018,57,36.8,iPhone,0,6,9
Hévenu Shalom Aléchem,Barcelona Gipsy Klezmer Orchestra,Imbarca,155,6.8,2016-06-02,2026-03-10,107,2024,28,27.7,iPhone,0,23,10
God's Plan,Q.Z.B,God's Plan,155,8.3,2019-10-28,2025-10-12,107,2019,50,32.0,iPhone,0,7,7
"No Hearts, No Love (& Metro Boomin)",Big Sean,Double Or Nothing (& Metro Boomin),154,9.2,2019-05-29,2026-04-02,103,2019,82,35.5,iPhone,0,21,8
We're All Leaving,Arcade Fire,Her (Original Score),154,6.4,2021-03-27,2026-07-20,53,2026,112,12.1,iPhone,28,84,4
Dead And Gone,T.I.,Paper Trail,152,10.8,2017-11-26,2026-03-21,96,2021,45,46.2,iPhone,0,38,10
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),152,8.9,2019-04-08,2026-09-03,91,2025,74,36.5,iPhone,9,78,8
Take Us Out,Jerry Goldsmith,Rudy,151,4.6,2016-07-18,2022-10-12,82,2016,46,36.7,iPhone,0,0,6
You,Cam Meekins,Lamp City,149,9.9,2018-09-30,2026-05-25,94,2026,43,26.1,iPhone,1,84,8
exile (feat. Bon Iver),Taylor Swift,folklore,148,11.2,2020-12-12,2025-12-05,70,2022,70,37.6,iPhone,0,25,6
Pat Earrings,CASISDEAD,Pat Earrings,144,9.4,2019-01-14,2020-12-04,77,2019,125,21.7,iPhone,0,0,2
Shelter from the Storm,Bob Dylan,Blood On The Tracks,142,11.1,2015-12-26,2026-03-10,98,2020,43,29.3,iPhone,0,9,11
You Ain't Missin' Nothing,T.I.,Paper Trail,141,10.8,2017-11-27,2026-08-19,83,2018,44,33.5,iPhone,6,21,8
A Fond Farewell,Elliott Smith,From A Basement On The Hill,140,8.9,2023-05-03,2026-02-02,67,2023,94,14.9,Speaker,0,4,4
Forgot About Dre,Dr. Dre,2001,139,7.9,2016-01-02,2026-03-30,119,2021,29,36.5,iPhone,0,9,11
Good News,Mac Miller,Circles,136,12.0,2020-01-19,2026-09-03,74,2020,111,32.0,iPhone,14,1,5
Dreams - 2004 Remaster,Fleetwood Mac,Rumours,136,8.9,2020-04-06,2026-08-06,96,2020,46,33.9,iPhone,3,8,7
abcdefu,GAYLE,abcdefu,136,5.9,2021-12-02,2026-03-15,63,2022,75,37.1,iPhone,0,1,5
Right Above It,Lil Wayne,I Am Not A Human Being,135,9.6,2016-08-21,2025-10-03,76,2016,58,38.4,iPhone,0,5,9
Time Is On My Side - Mono Version,The Rolling Stones,The Rolling Stones No. 2,135,6.5,2020-07-22,2023-09-12,11,2020,128,8.5,iPhone,0,0,3
No Love,Eminem,Recovery,133,10.3,2012-06-07,2026-06-28,100,2017,30,37.8,iPhone,1,28,13
Whatever You Like,T.I.,Paper Trail,132,8.3,2017-08-02,2026-03-21,83,2025,43,46.7,iPhone,0,45,10
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",132,9.0,2018-04-05,2026-02-20,109,2022,63,25.3,Speaker,0,3,8
All The Small Things,Scott Bradlee's Postmodern Jukebox,Fake Blues,131,6.9,2022-03-03,2026-04-03,60,2022,69,45.0,iPhone,0,15,5
Skinny Love,Bon Iver,"For Emma, Forever Ago",130,8.0,2016-01-19,2021-08-22,49,2016,98,31.2,iPhone,0,0,6
Nice For What,Drake,Scorpion,130,7.3,2018-07-21,2026-08-19,111,2019,41,32.6,iPhone,4,2,9
Juicy - 2005 Remaster,The Notorious B.I.G.,Ready to Die,128,10.1,2016-04-10,2026-03-29,113,2017,28,37.7,iPhone,0,3,10
Guilty,George Shearing,The Shearing Piano,128,6.7,2016-08-22,2026-01-10,85,2017,37,24.2,iPhone,0,1,10
Crown of Love,Arcade Fire,Funeral,128,9.5,2020-02-16,2025-07-10,48,2021,111,22.7,Speaker,0,2,5
98 Freestyle,Big L,The Big Picture,126,4.3,2016-07-21,2020-06-16,78,2018,54,26.9,iPhone,0,0,5
I Luv It,Jeezy,The Inspiration,125,7.7,2016-07-21,2025-10-12,72,2016,49,35.9,iPhone,0,14,9
Call My Name,HAERTS,HAERTS,125,7.0,2020-12-29,2025-10-12,80,2022,61,29.0,iPhone,0,4,6
Making Love Out of Nothing at All,Air Supply,All Out Of Love,125,10.5,2021-10-18,2026-03-15,57,2022,55,34.7,Speaker,0,3,6
Toxic,BoyWithUke,Toxic,125,5.6,2021-11-05,2026-03-15,59,2022,69,20.9,iPhone,0,2,6
"Beethoven: Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto (Excerpt)",Ludwig van Beethoven,Classical Chillout,124,8.1,2020-02-29,2021-11-21,18,2021,120,6.0,Speaker,0,0,2
100 (feat. Drake),The Game,The Documentary 2,122,9.6,2015-12-22,2020-04-16,91,2016,58,48.9,iPhone,0,0,6
Hate It Or Love It,The Game,The Documentary,122,6.7,2016-01-30,2026-07-21,107,2020,22,36.5,iPhone,2,7,10
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,It Was Written,120,8.3,2015-12-21,2026-08-16,99,2018,19,44.9,iPhone,12,6,12
"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",Frédéric Chopin,"Chopin: Nocturnes, Vol. 1",119,8.5,2017-05-10,2025-07-28,101,2019,33,19.6,iPhone,0,1,9
Birthday Song,James Murphy,Greenberg Original Motion Picture Soundtrack,119,3.1,2017-06-15,2026-08-13,26,2026,113,14.7,Speaker,29,84,4
Circles,Post Malone,Hollywood's Bleeding,118,6.4,2019-09-18,2025-12-07,93,2019,46,32.5,iPhone,0,5,7
"Hang Me, Oh Hang Me",Dave Van Ronk,Inside Dave Van Ronk,118,5.9,2020-01-05,2026-08-13,54,2026,65,23.0,iPhone,24,41,5
Tha Crossroads,Cold Chilling Collective,Cold Chilling - Compton,117,6.3,2022-10-13,2026-07-21,60,2025,84,28.1,iPhone,1,89,5
"Comptine d'un autre été, l'après-midi",Yann Tiersen,Amélie,116,4.5,2017-05-01,2021-11-08,63,2019,34,16.0,iPhone,0,0,5
Photographs - Piano,James Murphy,Greenberg Original Motion Picture Soundtrack,115,3.7,2017-06-15,2026-07-20,25,2026,108,14.3,Speaker,27,81,5
Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon,115,6.2,2020-07-04,2025-08-11,73,2022,44,38.9,iPhone,0,1,6
"Nocturne No. 19 in E Minor, Op. 72, No. 1",Frédéric Chopin,"Benjamin Grosvenor: Chopin, Liszt, Ravel",113,7.4,2018-09-23,2025-07-29,98,2022,33,14.8,iPhone,0,3,8
Satie / Orch. Ducros: Gymnopédie No. 1,Erik Satie,Emotions,113,5.3,2021-04-15,2023-02-25,20,2021,110,5.8,Speaker,0,0,3
